date,st_1,st_2,st_3,st_4,st_5,st_mean,wl_1,wl_2,wl_3,wl_4,wl_5,wl_mean,ml_1,ml_2,ml_3,ml_4,ml_5,ml_mean,gm_1,gm_2,gm_3,gm_4,gm_5,gm_mean,day
11/01/2021,0,0,3,6,0,3.666666667,0,2,2,2,1,3.285714286,,,,,,,,,,,,,1
18/01/2021,0,0,6,3,1,3.5,0,0,6,3,0,3.333333333,,,,,,,,,,,,,1
25/01/2021,0,2,3,2,0,3,0,3,5,1,0,2.777777778,0,1,3,0,2,3.5,2,3,0,1,0,2,1
01/02/2021,1,0,8,0,0,2.777777778,0,0,6,3,0,3.333333333,0,3,1,4,1,3.333333333,0,1,4,4,0,3.333333333,1
08/02/2021,0,4,4,0,0,2.5,0,0,8,0,0,3,0,3,1,3,1,3.25,0,1,1,5,1,3.75,1
15/02/2021,0,0,4,2,0,3.333333333,0,0,3,3,0,3.5,0,1,2,2,1,3.5,0,1,3,1,1,3.333333333,1
22/02/2021,0,2,4,1,0,2.857142857,0,1,4,2,0,3.142857143,0,1,1,4,1,3.714285714,0,2,3,2,0,3,1
05/03/2021,1,0,5,3,0,3.111111111,0,1,6,2,0,3.111111111,0,5,3,0,1,2.666666667,0,5,3,1,0,2.555555556,5
15/03/2021,1,3,2,4,0,2.9,0,0,5,5,0,3.5,0,1,5,3,1,3.4,0,3,5,2,0,2.9,
30/04/2021,0,1,3,3,0,3.285714286,0,0,3,4,0,3.571428571,0,4,1,3,0,2.875,0,4,3,1,0,2.625,